Geographic area,Population,Housing units,Total area in square miles,Water area in square miles,Land area in square miles,Population density per square mile of land area,Housing units density per square mile of land area
Census Tract 63.72,"5,738","2,598",0.89,0.02,0.87,"6,608.40","2,992.10"
Census Tract 63.83,"8,813","3,791",3.51,0.03,3.48,"2,529.10","1,087.90"
Census Tract 63.84,"6,194","2,717",0.95,0.01,0.94,"6,559.70","2,877.40"
Census Tract 63.86,"3,702","1,702",1.68,0.01,1.67,"2,213.10","1,017.50"
Census Tract 63.87,"5,527","2,738",1.51,0.02,1.49,"3,706.40","1,836.10"
Census Tract 63.91,"4,770","1,798",2.55,0.03,2.52,"1,894.40",714.1
Census Tract 63.92,"4,386","1,704",1.61,0.01,1.59,"2,754.50","1,070.10"
Census Tract 63.93,"5,239","2,009",0.91,0,0.91,"5,756.10","2,207.30"
Census Tract 63.94,"2,750","1,046",0.4,0,0.4,"6,953.50","2,644.90"
Census Tract 63.95,"3,673","2,059",0.72,0.01,0.71,"5,197.20","2,913.40"
Census Tract 63.96,"4,289","2,249",3.29,0.02,3.27,"1,310.70",687.3
Census Tract 64.10,"2,666","1,299",0.87,0.03,0.84,"3,160.50","1,540.00"
Census Tract 64.30,"4,459","1,967",1,0,1,"4,449.70","1,962.90"
Census Tract 65,"3,646","1,414",0.95,0.01,0.94,"3,893.20","1,509.90"
Census Tract 66,"3,903","1,658",0.85,0.01,0.84,"4,662.70","1,980.70"
Census Tract 67.10,"2,666","1,296",0.67,0,0.67,"3,968.30","1,929.10"
Census Tract 67.21,"3,390","1,377",1.12,0.03,1.09,"3,107.60","1,262.30"
Census Tract 67.22,"2,828","1,200",1.49,0,1.49,"1,897.20",805
Census Tract 68.10,"2,140",982,0.68,0,0.68,"3,142.50","1,442.00"
Census Tract 68.21,"3,327","2,174",0.57,0,0.57,"5,856.10","3,826.60"
Census Tract 68.22,"1,876",976,0.44,0,0.44,"4,220.10","2,195.60"
Census Tract 69.10,"1,530",651,0.69,0,0.69,"2,220.60",944.8
Census Tract 69.21,"3,431","1,852",1.03,0.04,0.99,"3,469.80","1,872.90"
Census Tract 69.23,"3,281","1,468",0.7,0,0.7,"4,654.20","2,082.40"
Census Tract 69.24,"3,677","1,869",0.64,0,0.64,"5,768.00","2,931.80"
Census Tract 69.31,"6,249","2,629",0.78,0,0.78,"8,009.80","3,369.80"
Census Tract 69.32,"5,996","2,379",0.99,0,0.99,"6,072.60","2,409.40"
Census Tract 69.33,"5,257","2,578",0.58,0,0.58,"9,000.70","4,413.90"
Census Tract 69.42,"1,167",562,0.14,0,0.14,"8,378.40","4,034.80"
Census Tract 69.43,"4,489","1,844",0.72,0,0.72,"6,252.70","2,568.50"
Census Tract 69.44,"4,112","1,867",0.99,0,0.99,"4,164.00","1,890.60"
Census Tract 69.45,"5,353","2,758",0.76,0,0.76,"7,045.70","3,630.10"
Census Tract 69.50,"2,744","1,338",1.72,0.12,1.6,"1,719.70",838.5
Census Tract 69.90,"6,376","2,864",2.96,0.04,2.92,"2,184.20",981.1
Census Tract 70.10,"3,802","1,114",1.1,0.04,1.06,"3,590.80","1,052.10"
Census Tract 70.20,"6,372","2,668",1.72,0,1.71,"3,723.50","1,559.10"
Census Tract 70.41,"2,062","1,006",1.5,0.04,1.46,"1,415.10",690.4
Census Tract 70.43,"4,047","2,061",1.01,0,1,"4,027.70","2,051.20"
Census Tract 70.44,"5,614","2,684",0.87,0.01,0.85,"6,581.60","3,146.60"
Census Tract 70.47,"3,727","1,672",0.91,0.01,0.9,"4,127.80","1,851.80"
Census Tract 70.48,"5,672","2,435",1.12,0.02,1.1,"5,146.20","2,209.30"
Census Tract 71.12,"5,431","2,102",1.54,0.01,1.53,"3,554.90","1,375.90"
Census Tract 71.13,"4,918","1,873",1.04,0.03,1.02,"4,839.10","1,842.90"
Census Tract 71.14,"4,823","2,409",1.64,0.03,1.61,"3,002.80","1,499.80"
Census Tract 71.15,"5,380","2,592",0.69,0,0.69,"7,834.00","3,774.30"
Census Tract 71.20,"5,117","1,940",1.32,0.02,1.3,"3,942.80","1,494.80"
Census Tract 71.32,"7,422","3,652",2.29,0.02,2.27,"3,274.40","1,611.20"
Census Tract 71.93,"6,316","2,500",1.76,0.01,1.74,"3,621.10","1,433.30"
Census Tract 71.94,"6,417","2,664",1.9,0.01,1.89,"3,398.20","1,410.80"
Census Tract 71.98,"2,812","1,205",0.6,0,0.59,"4,748.30","2,034.80"
Census Tract 71.99,"5,271","2,371",1.37,0.01,1.36,"3,881.30","1,745.90"
Census Tract 72.01,613,246,3.71,0.04,3.67,167.2,67.1
Census Tract 72.02,"2,915","1,527",1.54,0.07,1.47,"1,984.30","1,039.40"
Census Tract 72.03,"3,233","1,175",6.51,0.05,6.46,500.4,181.9
Census Tract 72.05,"3,710","2,352",2.09,0.01,2.08,"1,783.70","1,130.80"
